review_id,image_id,image_path_or_relative_key,image_sha256,source_dataset,source_site,source_camera_or_group,source_category_names,suggested_model1_label,suggestion_confidence,reviewer_label,reviewer_confidence,reviewer_notes,reviewer_decision,review_timestamp
seaclear-v1-review-008599,8599,Marseille/SIP-E323CV/Cam1_16_33_38_10_11_2020.mp4_01295.jpg,0f844c8d539c8912c516329b133b0908a53d19a7cbf96f3724fab85114afb60a,SeaClear v1,Marseille,Marseille/SIP-E323CV,tire_rubber,marine_debris,medium,,,,,
seaclear-v1-review-002194,2194,Bistrina/Paralenz Vaquita Gen 2/2984.jpg,d8725a09aed4975b0d86096e4a8a165f6ed4a129c7f633093404031a6225421a,SeaClear v1,Bistrina,Bistrina/Paralenz Vaquita Gen 2,animal_etc;animal_shells;animal_sponge;animal_urchin;bottle_glass;can_metal;rope_fiber,marine_debris,medium,,,,,
seaclear-v1-review-007956,7956,Marseille/SIP-E323CV/Cam1_16_28_15_10_11_2020.mp4_00275.jpg,0011eb8754dfaa3b23fce99be03eb7d1ae111fab055cc65e7a1d83cda12505f8,SeaClear v1,Marseille,Marseille/SIP-E323CV,tube_cement,marine_debris,medium,,,,,
seaclear-v1-review-001117,1117,Bistrina/Paralenz Vaquita Gen 2/2005.jpg,af909f1a8f08480493f5e6c3f96c74d054f80bb317e8c2df0a15cc8a8bba2ea7,SeaClear v1,Bistrina,Bistrina/Paralenz Vaquita Gen 2,animal_etc;animal_urchin;bottle_glass;net_plastic;rope_fiber,marine_debris,medium,,,,,
seaclear-v1-review-007680,7680,Marseille/SIP-E323CV/Cam1_16_26_03_10_11_2020.mp4_02301.jpg,6f6cf27db3d9a348a41187804fd68499c509f0cc3e2c4058bbc57d96c1a21bd3,SeaClear v1,Marseille,Marseille/SIP-E323CV,tube_cement,marine_debris,medium,,,,,
seaclear-v1-review-007477,7477,Marseille/SIP-E323CV/Cam1_16_26_03_10_11_2020.mp4_01518.jpg,c56f45e261c406039aad461e850508d18d6ea54be0eaaff3aca88a29e90c0c4c,SeaClear v1,Marseille,Marseille/SIP-E323CV,tube_cement,marine_debris,medium,,,,,
seaclear-v1-review-000051,51,Bistrina/Bluerobotics HD/1044.jpg,5c11301603272b3c9237182a66f54c7b7f3bc769d238fa34f82bc0df6bbc48d3,SeaClear v1,Bistrina,Bistrina/Bluerobotics HD,animal_etc;animal_urchin,fish_or_habitat_activity,low,,,,,
seaclear-v1-review-001553,1553,Lokrum/Bluerobotics HD/240.jpg,f5e977107013ce2da366b201ab417b5fed02eb733955484beae607b592c280c8,SeaClear v1,Lokrum,Lokrum/Bluerobotics HD,animal_urchin,fish_or_habitat_activity,low,,,,,
seaclear-v1-review-002343,2343,Bistrina/Paralenz Vaquita Gen 2/3117.jpg,fa69e0d077eb115909c3a91e45e6840ae9225b880f39897fb1c6e0c537d8bc05,SeaClear v1,Bistrina,Bistrina/Paralenz Vaquita Gen 2,animal_shells;animal_urchin,fish_or_habitat_activity,low,,,,,
seaclear-v1-review-000390,390,Slano/Bluerobotics HD/135.jpg,c76ce5b1c39972629ffcffb165613c93b46949a2dc821dfbd43c5aea1e424f25,SeaClear v1,Slano,Slano/Bluerobotics HD,brick_clay;can_metal;plant;unknown_instance,marine_debris,medium,,,,,
seaclear-v1-review-001343,1343,Bistrina/Paralenz Vaquita Gen 2/2210.jpg,615c3647ee1f2801a43568a03b68f5a82fb37fd5115ae8f8d8a4a35723e4309d,SeaClear v1,Bistrina,Bistrina/Paralenz Vaquita Gen 2,animal_etc;animal_urchin;brick_clay;cable_metal;plant,marine_debris,medium,,,,,
seaclear-v1-review-006353,6353,Marseille/SIP-E323CV/Cam1_16_26_03_10_11_2020.mp4_00271.jpg,4de2fefdd5c7b6f3a300613ae79625563b4e6d90539deb7e69fd778bfed69d0b,SeaClear v1,Marseille,Marseille/SIP-E323CV,bag_plastic;tire_rubber,marine_debris,medium,,,,,
seaclear-v1-review-003397,3397,Lokrum/Bluerobotics HD/4066.jpg,db2514451b47e2918b05cbc83327d0d0821820a56f5145e8903497723d7b85bb,SeaClear v1,Lokrum,Lokrum/Bluerobotics HD,branch_wood;rov_vehicle_leg;unknown_instance,,none,,,,,
seaclear-v1-review-003403,3403,Lokrum/Bluerobotics HD/4071.jpg,92dd3fede6b98fa9150f95dad2afd2fd56ed8131eb0f7c731cfda96afa1076c0,SeaClear v1,Lokrum,Lokrum/Bluerobotics HD,branch_wood;rov_vehicle_leg;unknown_instance,,none,,,,,
seaclear-v1-review-007481,7481,Marseille/SIP-E323CV/Cam1_16_26_03_10_11_2020.mp4_01522.jpg,ddea139ce9b08245ce3090c384634a7f127a9e7950a74a2d0e06767ad21b7786,SeaClear v1,Marseille,Marseille/SIP-E323CV,tube_cement,marine_debris,medium,,,,,
seaclear-v1-review-005055,5055,Bistrina/SIP-E323CV/2021_09_16_16_15_03_Front_17-25-17.jpg,75cfd02f5212929fc33ad6ec822660ba9fabccd07855943332f7f224cca9533f,SeaClear v1,Bistrina,Bistrina/SIP-E323CV,animal_sponge;animal_urchin;rope_fiber,marine_debris,medium,,,,,
seaclear-v1-review-004049,4049,Lokrum/Bluerobotics HD/47.jpg,6bb606229af75a046d91e558056724e8fcf49e326a73ee2b38f02f5bb5084b78,SeaClear v1,Lokrum,Lokrum/Bluerobotics HD,bottle_plastic,marine_debris,medium,,,,,
seaclear-v1-review-005892,5892,Marseille/SIP-E323CV/Cam1_16_24_32_10_11_2020.mp4_00633.jpg,b88dc37a6ac96312a666bd5999c0515b9208c757b296d3045049af10b962f72b,SeaClear v1,Marseille,Marseille/SIP-E323CV,tire_rubber,marine_debris,medium,,,,,
seaclear-v1-review-007063,7063,Marseille/SIP-E323CV/Cam1_16_26_03_10_11_2020.mp4_01104.jpg,ed4eaf5ce9a9aef5de48ddd5ecbc30a4cad3fe875381b8cfef626c224576f959,SeaClear v1,Marseille,Marseille/SIP-E323CV,tire_rubber,marine_debris,medium,,,,,
seaclear-v1-review-003811,3811,Jakljan/Bluerobotics HD/4439.jpg,b53316bfd90745780bfe791c23ce9cfd232d6195e88e94770696907d9c3fa215,SeaClear v1,Jakljan,Jakljan/Bluerobotics HD,bottle_glass,marine_debris,medium,,,,,
seaclear-v1-review-002903,2903,Bistrina/Paralenz Vaquita Gen 2/3621.jpg,d5d7f8b3087ec592e27ece3ab92ef4fb2918804e956a4ba089d3a4a062e38aba,SeaClear v1,Bistrina,Bistrina/Paralenz Vaquita Gen 2,animal_etc;animal_urchin;bag_plastic;bottle_plastic,marine_debris,medium,,,,,
seaclear-v1-review-000657,657,Bistrina/Bluerobotics HD/1590.jpg,319e38204fa456994f34483e97af4dcdff52ae77e6a8701cd113ceeb8811777c,SeaClear v1,Bistrina,Bistrina/Bluerobotics HD,bottle_plastic;cup_plastic;rov_cable,marine_debris,medium,,,,,
seaclear-v1-review-003680,3680,Jakljan/Bluerobotics HD/4320.jpg,791285adf4494cb38a4596fa7366720042e60406853d0f21432f51e260f5411f,SeaClear v1,Jakljan,Jakljan/Bluerobotics HD,animal_etc;bottle_glass;brick_clay;unknown_instance,marine_debris,medium,,,,,
seaclear-v1-review-000988,988,Bistrina/Paralenz Vaquita Gen 2/1889.jpg,ebec0c8fa0e0297545bfe17952e707c139edd96e3705e2065246f5053c7e735c,SeaClear v1,Bistrina,Bistrina/Paralenz Vaquita Gen 2,animal_etc;animal_urchin;bottle_glass;rope_plastic;unknown_instance,marine_debris,medium,,,,,
seaclear-v1-review-001334,1334,Bistrina/Paralenz Vaquita Gen 2/2202.jpg,f3e0f591911c644eb2287fccf20f1cbcd14aac198cc6f97f58a3a92a446bbea0,SeaClear v1,Bistrina,Bistrina/Paralenz Vaquita Gen 2,animal_etc;animal_urchin;bottle_glass;brick_clay;cable_metal;plant,marine_debris,medium,,,,,
seaclear-v1-review-002691,2691,Bistrina/Paralenz Vaquita Gen 2/3430.jpg,ebc19e826a8f46450e0a6e660a0bf8b133ce1a9e3d090dc23c15b834e2d10cb3,SeaClear v1,Bistrina,Bistrina/Paralenz Vaquita Gen 2,animal_etc;animal_sponge;animal_urchin;can_metal;rope_fiber,marine_debris,medium,,,,,
seaclear-v1-review-008180,8180,Marseille/SIP-E323CV/Cam1_16_33_38_10_11_2020.mp4_00448.jpg,e5e306503e9d022ff9ac7bdd4eebba747b6b1d7d14ee710439646d8a3c085760,SeaClear v1,Marseille,Marseille/SIP-E323CV,bag_plastic,marine_debris,medium,,,,,
seaclear-v1-review-004806,4806,Lokrum/SIP-E323CV/2021_09_15_10_17_40_Front_fixed_twice_15-45-00.jpg,2fd1598887268c0bb5547af789dc46d2242bc408beae5712545aee4ee0142b99,SeaClear v1,Lokrum,Lokrum/SIP-E323CV,bottle_plastic;clothing_fiber,marine_debris,medium,,,,,
seaclear-v1-review-005656,5656,Marseille/SIP-E323CV/Cam1_16_24_32_10_11_2020.mp4_00314.jpg,8552c027ab9d60d696a92c14267f766b66bd9b7c906250998c60933e4f91d169,SeaClear v1,Marseille,Marseille/SIP-E323CV,tire_rubber,marine_debris,medium,,,,,
seaclear-v1-review-004006,4006,Jakljan/Paralenz Vaquita/4614.jpg,17c72a40757130c66b7e569a0b1fb63d7bad46b63cb1f0ff2e0cf84973504abd,SeaClear v1,Jakljan,Jakljan/Paralenz Vaquita,rov_bluerov;rov_cable,unknown,low,,,,,
seaclear-v1-review-003882,3882,Jakljan/Bluerobotics HD/4502.jpg,c0a6611ccc04d34b62e3112ee4f9e2b6b12785574bb7b687b30d2700650f3c69,SeaClear v1,Jakljan,Jakljan/Bluerobotics HD,tire_rubber,marine_debris,medium,,,,,
seaclear-v1-review-007384,7384,Marseille/SIP-E323CV/Cam1_16_26_03_10_11_2020.mp4_01425.jpg,64cced996640274e308eac7111ea214b9d39911f9f4b8feb593ae6b4c23f1235,SeaClear v1,Marseille,Marseille/SIP-E323CV,tube_cement,marine_debris,medium,,,,,
seaclear-v1-review-004493,4493,Slano/Bluerobotics HD/87.jpg,cf0dbb35b73a1825c4957fa8dacac4a8ad5d0dd6c5b8115d7dd96a82d3dfa59e,SeaClear v1,Slano,Slano/Bluerobotics HD,animal_etc;animal_fish;bottle_glass;bottle_plastic;brick_clay;can_metal;pipe_plastic;plant;rope_fiber;wreckage_metal,marine_debris,medium,,,,,
seaclear-v1-review-006007,6007,Marseille/SIP-E323CV/Cam1_16_24_32_10_11_2020.mp4_00757.jpg,169d68a7bc61db286ffebc8f03c2f86b669a8f81c969867ede44d16f74df472d,SeaClear v1,Marseille,Marseille/SIP-E323CV,rov_cable,unknown,low,,,,,
seaclear-v1-review-003644,3644,Jakljan/Bluerobotics HD/4289.jpg,06317bc655d9de0b453b70e5178dc96087b42200685578bff6ad49bb0fd7be17,SeaClear v1,Jakljan,Jakljan/Bluerobotics HD,animal_etc,fish_or_habitat_activity,low,,,,,
seaclear-v1-review-003046,3046,Lokrum/Bluerobotics HD/3750.jpg,6418b9ccfab4119f22e4304327386e97d054fb665703b92c6f29308ec156f98a,SeaClear v1,Lokrum,Lokrum/Bluerobotics HD,bottle_plastic;can_metal;rov_vehicle_leg,marine_debris,medium,,,,,
seaclear-v1-review-001834,1834,Bistrina/Paralenz Vaquita Gen 2/2659.jpg,68c0ab81aed95772610dfdadff900aef6b34e88ac4543566a94f16e364446a61,SeaClear v1,Bistrina,Bistrina/Paralenz Vaquita Gen 2,animal_shells,fish_or_habitat_activity,low,,,,,
seaclear-v1-review-003919,3919,Slano/Paralenz Vaquita/4536.jpg,925a1974744a5245959f3d530fd0a320e0b56d8ed2216b256f3428c0f3343f4a,SeaClear v1,Slano,Slano/Paralenz Vaquita,bottle_glass;container_middle_size_metal;jar_glass,marine_debris,medium,,,,,
seaclear-v1-review-007901,7901,Marseille/SIP-E323CV/Cam1_16_28_15_10_11_2020.mp4_00220.jpg,682835b8189d13e3dc2fd199ff8463c064ef58149bc5506df11ec465aef62156,SeaClear v1,Marseille,Marseille/SIP-E323CV,tube_cement,marine_debris,medium,,,,,
seaclear-v1-review-006300,6300,Marseille/SIP-E323CV/Cam1_16_26_03_10_11_2020.mp4_00218.jpg,b3310a3c7ba2b37e847fcd60bf3de6148bc2f3c97e97bdcc80050e37de1d726e,SeaClear v1,Marseille,Marseille/SIP-E323CV,bag_plastic,marine_debris,medium,,,,,
seaclear-v1-review-005966,5966,Marseille/SIP-E323CV/Cam1_16_24_32_10_11_2020.mp4_00707.jpg,e2f585b2c2656f75540dac0730ebbd9673cf138973a64269922c5803321bbad7,SeaClear v1,Marseille,Marseille/SIP-E323CV,tire_rubber,marine_debris,medium,,,,,
seaclear-v1-review-006467,6467,Marseille/SIP-E323CV/Cam1_16_26_03_10_11_2020.mp4_00385.jpg,4a0b9ac73315f010981c3329e1d70733c8c10247fcbd1a55b866c010c4f7240b,SeaClear v1,Marseille,Marseille/SIP-E323CV,tire_rubber,marine_debris,medium,,,,,
seaclear-v1-review-005132,5132,Bistrina/SIP-E323CV/2021_09_17_11_24_42_Front_03-49-20.jpg,486ef79a856b181a5bd91136d0dc8edfd1e73b8ff4f7b7bb2fbd2428bbbb1a83,SeaClear v1,Bistrina,Bistrina/SIP-E323CV,animal_urchin,fish_or_habitat_activity,low,,,,,
seaclear-v1-review-000005,5,Bistrina/Bluerobotics HD/1002.jpg,02a08b670fd06231d23f1dc82ae903ee7e082696743fcb25b046d0fc2b240a68,SeaClear v1,Bistrina,Bistrina/Bluerobotics HD,animal_etc;animal_sponge,fish_or_habitat_activity,low,,,,,
seaclear-v1-review-004810,4810,Lokrum/SIP-E323CV/2021_09_15_10_17_40_Front_fixed_twice_15-47-17.jpg,a198e0c427fc5e1690ca44708f86c8ba1c48162c209e65604f7e6e5293948f92,SeaClear v1,Lokrum,Lokrum/SIP-E323CV,bottle_plastic;clothing_fiber,marine_debris,medium,,,,,
seaclear-v1-review-006725,6725,Marseille/SIP-E323CV/Cam1_16_26_03_10_11_2020.mp4_00643.jpg,da233ae2e9da1f0b2c2e080dc9a891fe18d90019f178f00b565ff3311f52eac5,SeaClear v1,Marseille,Marseille/SIP-E323CV,tire_rubber,marine_debris,medium,,,,,
seaclear-v1-review-004820,4820,Lokrum/SIP-E323CV/2021_09_15_10_17_40_Front_fixed_twice_15-57-18.jpg,087dd3a8f5656ebf6950d385e87d33e05b9781a9407b0f6529608d9f9e84eebc,SeaClear v1,Lokrum,Lokrum/SIP-E323CV,bottle_plastic;clothing_fiber,marine_debris,medium,,,,,
seaclear-v1-review-000737,737,Bistrina/Paralenz Vaquita Gen 2/1662.jpg,12ed39c608c63b97d69df03bf937254f7a48cdc7d1cb175c46568cd0c1069738,SeaClear v1,Bistrina,Bistrina/Paralenz Vaquita Gen 2,animal_urchin;bottle_glass;brick_clay;rope_fiber;unknown_instance,marine_debris,medium,,,,,
seaclear-v1-review-006886,6886,Marseille/SIP-E323CV/Cam1_16_26_03_10_11_2020.mp4_00927.jpg,ef1db2a8ab429a35e1ede2ca34372449bebf48f00def468be7688bbfe0eeab37,SeaClear v1,Marseille,Marseille/SIP-E323CV,tire_rubber,marine_debris,medium,,,,,
seaclear-v1-review-000258,258,Bistrina/Bluerobotics HD/1230.jpg,7aac8cd3931fbbce3555982f5fe4c61ff2fa08295e8fcac1c1fecaaf884c07bb,SeaClear v1,Bistrina,Bistrina/Bluerobotics HD,animal_etc;bottle_glass;can_metal,marine_debris,medium,,,,,
seaclear-v1-review-005730,5730,Marseille/SIP-E323CV/Cam1_16_24_32_10_11_2020.mp4_00388.jpg,23e0257ac28ce5833a7b142d09f5b5a9af25b00fe960a52f2bb14470ae21babf,SeaClear v1,Marseille,Marseille/SIP-E323CV,tire_rubber,marine_debris,medium,,,,,
seaclear-v1-review-002580,2580,Bistrina/Paralenz Vaquita Gen 2/3330.jpg,1a45acf063b787e37085f0810125d35ecee8b59fa3303891fcd630d4bd791dba,SeaClear v1,Bistrina,Bistrina/Paralenz Vaquita Gen 2,animal_etc;animal_urchin;bottle_plastic;brick_clay;rope_fiber,marine_debris,medium,,,,,
seaclear-v1-review-002139,2139,Bistrina/Paralenz Vaquita Gen 2/2934.jpg,e58befaea4ada5078af2c72a3dbcf9c3dffc3f62fa6027ded28fe1687d67e9ba,SeaClear v1,Bistrina,Bistrina/Paralenz Vaquita Gen 2,animal_etc;bottle_glass;net_plastic;rope_fiber,marine_debris,medium,,,,,
seaclear-v1-review-003732,3732,Jakljan/Bluerobotics HD/4368.jpg,fdff64358f75291f74de9d60ef7f33c8c4bfde6c435246645eebf35641fcae3b,SeaClear v1,Jakljan,Jakljan/Bluerobotics HD,animal_etc,fish_or_habitat_activity,low,,,,,
seaclear-v1-review-001578,1578,Bistrina/Paralenz Vaquita Gen 2/2423.jpg,06e4dd7b2aee02c739a3240cf62f7cdc539d9ce2a1f562d46881e71f6b4adce7,SeaClear v1,Bistrina,Bistrina/Paralenz Vaquita Gen 2,net_plastic,marine_debris,medium,,,,,
seaclear-v1-review-007333,7333,Marseille/SIP-E323CV/Cam1_16_26_03_10_11_2020.mp4_01374.jpg,67612698f969ca4fbc824ce8d91eca52f030b9ebf683c9e1905f015301065405,SeaClear v1,Marseille,Marseille/SIP-E323CV,tube_cement,marine_debris,medium,,,,,
seaclear-v1-review-001188,1188,Slano/Bluerobotics HD/207.jpg,ecc2b1ba4ddb7399934738867e44fc1f68e5bd7235bee5e2fcdf6b50d4f21608,SeaClear v1,Slano,Slano/Bluerobotics HD,bottle_glass;tube_cement;unknown_instance,marine_debris,medium,,,,,
seaclear-v1-review-003819,3819,Jakljan/Bluerobotics HD/4446.jpg,828e5074f4ba51c0887da34ce1762f9c100f589dbf64a46bbc8b2de863358c60,SeaClear v1,Jakljan,Jakljan/Bluerobotics HD,animal_sponge;bottle_plastic;clothing_fiber,marine_debris,medium,,,,,
seaclear-v1-review-006563,6563,Marseille/SIP-E323CV/Cam1_16_26_03_10_11_2020.mp4_00481.jpg,60dfd04a9c53a89119bb15a45462fae6b6b023f485d87780f66cc1b30c0574e0,SeaClear v1,Marseille,Marseille/SIP-E323CV,tire_rubber,marine_debris,medium,,,,,
seaclear-v1-review-000510,510,Bistrina/Bluerobotics HD/1458.jpg,c0e8ce6ebc8d0856e1d0cb6a1f39d5ecd0f4ec457d9541c2f95860c49f3b4381,SeaClear v1,Bistrina,Bistrina/Bluerobotics HD,animal_etc;animal_urchin;bottle_glass;brick_clay,marine_debris,medium,,,,,
seaclear-v1-review-001317,1317,Bistrina/Paralenz Vaquita Gen 2/2187.jpg,ed3241f00a97b9f5d206ec5b6efd9d699efa3334335139b82ea449037d1eb8fa,SeaClear v1,Bistrina,Bistrina/Paralenz Vaquita Gen 2,animal_etc;animal_urchin;bottle_glass;brick_clay;cable_metal;net_plastic;plant,marine_debris,medium,,,,,
seaclear-v1-review-006162,6162,Marseille/SIP-E323CV/Cam1_16_26_03_10_11_2020.mp4_00080.jpg,17a57688a48138b6dcc7a4c873778c9c67a0d4cb242fb60aa20ad20cd3879fe4,SeaClear v1,Marseille,Marseille/SIP-E323CV,bag_plastic;tire_rubber,marine_debris,medium,,,,,
seaclear-v1-review-006459,6459,Marseille/SIP-E323CV/Cam1_16_26_03_10_11_2020.mp4_00377.jpg,969ac01cb44d33a23dcf273395df2c16809d86b73612de295b0bb37e52f256e3,SeaClear v1,Marseille,Marseille/SIP-E323CV,tire_rubber,marine_debris,medium,,,,,
seaclear-v1-review-003070,3070,Lokrum/Bluerobotics HD/3772.jpg,aa04eb506d753888d33b1ce1d5f90688c10f8c1ea95d73c22c414a22254663c7,SeaClear v1,Lokrum,Lokrum/Bluerobotics HD,bottle_plastic;can_metal;rov_vehicle_leg,marine_debris,medium,,,,,
seaclear-v1-review-001588,1588,Bistrina/Paralenz Vaquita Gen 2/2432.jpg,f15aba202114a7eaaba7b81903d48b8a63feed5337af644f39fdad518337e6f1,SeaClear v1,Bistrina,Bistrina/Paralenz Vaquita Gen 2,animal_urchin;bottle_plastic;net_plastic;unknown_instance,marine_debris,medium,,,,,
seaclear-v1-review-008195,8195,Marseille/SIP-E323CV/Cam1_16_33_38_10_11_2020.mp4_00463.jpg,928535ce72a5f056e5bb01978b13b4429d7cba5c2b9f3b95afd1cf041ff175c9,SeaClear v1,Marseille,Marseille/SIP-E323CV,bag_plastic,marine_debris,medium,,,,,
seaclear-v1-review-002595,2595,Bistrina/Paralenz Vaquita Gen 2/3344.jpg,2a7160df31a8d1061ae5543300296d599b75ebcc2636fb11f1cc0f1d0f6fbf3f,SeaClear v1,Bistrina,Bistrina/Paralenz Vaquita Gen 2,animal_etc;animal_urchin;bottle_plastic;brick_clay;rope_fiber,marine_debris,medium,,,,,
seaclear-v1-review-003942,3942,Slano/Paralenz Vaquita/4557.jpg,44b8b11cac7609c7a99b1f756dc777f0952909ddf6ca74f1101b1acbb84fe54c,SeaClear v1,Slano,Slano/Paralenz Vaquita,clothing_fiber;tire_rubber,marine_debris,medium,,,,,
seaclear-v1-review-000921,921,Bistrina/Paralenz Vaquita Gen 2/1828.jpg,650ea38d30ae1ca3500e5e4f98b6cc82ff4c5662d72b4eb0d55ed1dd4377537c,SeaClear v1,Bistrina,Bistrina/Paralenz Vaquita Gen 2,animal_etc;animal_urchin;unknown_instance,fish_or_habitat_activity,low,,,,,
seaclear-v1-review-000512,512,Slano/Bluerobotics HD/146.jpg,20c3a71ba0298a45cec5360f11c6aad998d981684dad8fb5da84308061799650,SeaClear v1,Slano,Slano/Bluerobotics HD,brick_clay,marine_debris,medium,,,,,
seaclear-v1-review-006155,6155,Marseille/SIP-E323CV/Cam1_16_26_03_10_11_2020.mp4_00073.jpg,d157a6b48380debee82165daafd8d66149fc09384d72de893332393fa0ccde8a,SeaClear v1,Marseille,Marseille/SIP-E323CV,bag_plastic;tire_rubber,marine_debris,medium,,,,,
seaclear-v1-review-001073,1073,Bistrina/Paralenz Vaquita Gen 2/1966.jpg,4d7b17ef68b48aadde06c49833eca060802088972dafe4018eeb8997b7e329f6,SeaClear v1,Bistrina,Bistrina/Paralenz Vaquita Gen 2,animal_etc;animal_urchin;bottle_glass;net_plastic;wreckage_metal,marine_debris,medium,,,,,
seaclear-v1-review-006436,6436,Marseille/SIP-E323CV/Cam1_16_26_03_10_11_2020.mp4_00354.jpg,c359a2665fbffbb5a901cc6ada9d164478bbd8345e01ad28409d009b707830a4,SeaClear v1,Marseille,Marseille/SIP-E323CV,tire_rubber,marine_debris,medium,,,,,
seaclear-v1-review-008062,8062,Marseille/SIP-E323CV/Cam1_16_28_15_10_11_2020.mp4_01076.jpg,f6d688294665f01847c907d0cbfe62d06fca8d34f9a525b44ebcda154ff83b10,SeaClear v1,Marseille,Marseille/SIP-E323CV,rov_cable,unknown,low,,,,,
seaclear-v1-review-003048,3048,Lokrum/Bluerobotics HD/3752.jpg,e931d589186db8c0b4a5c48c0d30bb9d1f0dd92ec447f9ddfc2f6bd21f76a792,SeaClear v1,Lokrum,Lokrum/Bluerobotics HD,bottle_plastic;can_metal,marine_debris,medium,,,,,
seaclear-v1-review-005483,5483,Marseille/SIP-E323CV/Cam1_16_23_22_10_11_2020.mp4_00814.jpg,d9ccad5686404b3a4ddc28e269fdc8b15b256a967081b739856679ca5b879f6f,SeaClear v1,Marseille,Marseille/SIP-E323CV,tire_rubber,marine_debris,medium,,,,,
seaclear-v1-review-005817,5817,Marseille/SIP-E323CV/Cam1_16_24_32_10_11_2020.mp4_00475.jpg,909f6d6ff9ae28bef08664f31c64fce63fa41ee5a5c3b5af743c78b17aed8db3,SeaClear v1,Marseille,Marseille/SIP-E323CV,tire_rubber,marine_debris,medium,,,,,
seaclear-v1-review-008600,8600,Marseille/SIP-E323CV/Cam1_16_33_38_10_11_2020.mp4_01296.jpg,3fd163e1f5d121a1ba225f64daf43a9ad3e5f9689df1349b66fc824a53e15755,SeaClear v1,Marseille,Marseille/SIP-E323CV,tire_rubber,marine_debris,medium,,,,,
