timestamp_s,mission_id,duty,depth_m,depth_error_m,speed_mps,vertical_speed_mps,roll_deg,pitch_deg,yaw_rate_dps,current_a,voltage_v,thruster_cmd_mean,thruster_response_ratio,imu_depth_disagreement_m,dvl_quality,temperature_c,label
82.3,sim-0004,pipeline_tracking,25.18668,-0.12455,0.546,0.01045,1.05955,0.05033,1.00227,19.32838,46.66825,0.28809,0.95868,2.06319,0.27164,29.59972,sensor_drift
27.3,sim-0001,station_keeping,13.37755,-0.63713,0.45577,-0.01218,-0.73855,1.185,2.33045,21.87763,46.84816,0.20259,1.0026,0.7958,0.43816,29.38434,sensor_drift
17.1,sim-0000,station_keeping,7.47278,-0.18642,0.21744,0.01777,0.62255,1.07317,14.93528,21.88303,46.83429,0.66559,0.25788,0.00538,0.94148,28.85774,thruster_degradation
54.0,sim-0002,station_keeping,79.63314,0.12407,0.42899,0.00286,0.50944,-0.35551,-3.60991,19.10319,46.93188,0.69365,0.97166,0.11864,0.96685,31.90675,nominal
30.1,sim-0001,pipeline_tracking,26.01973,0.09594,0.4688,-0.01672,1.7304,0.12637,12.15432,34.03935,46.75752,0.16165,0.63728,0.06433,0.96732,25.41321,thruster_degradation
7.6,sim-0000,pipeline_tracking,62.79629,0.19286,0.39383,-0.02523,-1.14096,0.47115,8.49768,28.23103,47.11542,0.51938,0.53267,0.01179,0.90636,30.45248,thruster_degradation
14.4,sim-0000,station_keeping,54.34298,-0.13195,0.34204,0.01266,-0.41005,-0.18053,-1.24739,25.71187,47.39092,0.74105,0.85496,0.08916,0.89782,29.604,hydrodynamic_drag
12.8,sim-0000,target_waypoint,46.12965,-0.39512,0.64387,-0.06783,-0.24126,0.46017,1.38479,17.8574,47.77897,0.53592,0.99441,2.19993,0.81127,26.36633,sensor_drift
10.9,sim-0000,pipeline_tracking,8.7665,0.07289,0.227,-0.01575,-0.33626,-0.3016,-1.14273,28.07254,47.75258,0.54334,0.79342,0.04237,0.86741,30.64456,hydrodynamic_drag
32.5,sim-0001,pipeline_tracking,15.99784,0.08194,0.22257,0.04902,-0.88142,-0.81976,-0.47023,15.72867,47.81993,0.54336,0.95138,0.01152,0.94739,34.15836,nominal
32.4,sim-0001,station_keeping,50.34979,0.03284,0.42524,0.03915,1.7035,0.20691,-0.99988,26.86309,47.43437,0.51068,0.8326,0.03812,0.9743,33.15851,hydrodynamic_drag
37.1,sim-0001,target_waypoint,32.01366,0.05173,0.53849,-0.00732,-0.25154,-1.2577,-12.0297,22.87599,47.38403,0.41763,0.44414,0.02784,0.98516,27.00555,thruster_degradation
82.0,sim-0004,pipeline_tracking,41.70768,-0.06711,0.63189,0.0764,0.25178,0.15447,-2.07069,16.63258,47.981,0.56719,1.0225,0.0433,0.89863,30.2049,nominal
81.5,sim-0004,target_waypoint,60.58948,-0.02141,0.37865,0.02118,0.62429,1.51813,-0.65983,15.97774,46.85167,0.49122,0.96489,0.06862,0.95693,33.96641,nominal
83.3,sim-0004,target_waypoint,47.92417,0.11891,0.68042,0.01518,-0.25606,0.91647,3.03186,14.12337,47.49216,0.41826,1.00622,2.07338,0.4956,31.91321,sensor_drift
59.7,sim-0002,station_keeping,30.84734,2.11716,0.6033,-0.25149,-1.02599,6.83916,2.33694,20.22463,47.25859,0.24832,0.90707,0.05645,0.89887,31.21013,buoyancy_imbalance
73.1,sim-0003,target_waypoint,57.84117,0.18333,0.32818,-0.01558,-1.39143,-0.1648,-7.83945,28.22698,48.18072,0.42703,0.35031,0.07563,0.89954,28.20438,thruster_degradation
31.5,sim-0001,station_keeping,19.14122,-0.29593,0.49184,-0.02017,-0.8563,-0.43962,0.60533,17.0478,46.96482,0.59287,0.94519,0.0535,0.95001,40.93237,nominal
62.8,sim-0003,pipeline_tracking,75.89934,-0.94763,0.70079,-0.03519,-2.07254,-0.48636,0.1816,17.60222,47.28719,0.64399,0.92198,1.62759,0.39987,28.36609,sensor_drift
44.6,sim-0002,target_waypoint,57.41001,-0.1418,0.53338,0.00078,0.03468,-0.61665,11.83391,31.12117,47.50825,0.5369,0.41985,0.08129,0.95153,33.78094,thruster_degradation
15.0,sim-0000,station_keeping,44.4996,0.34983,0.57598,0.02191,-0.25752,0.99768,-1.98917,15.78836,48.06717,0.50779,0.88328,0.05082,0.93272,33.132,nominal
76.5,sim-0003,station_keeping,67.34821,-0.21245,0.40186,0.03117,-1.06633,-2.01378,0.25805,19.56553,46.93549,0.283,0.95043,0.00014,0.89896,32.76967,nominal
42.4,sim-0002,pipeline_tracking,34.31469,-0.10906,0.27564,-0.00464,2.9787,0.07016,-1.04377,24.29376,46.84259,0.55234,0.81627,0.03276,0.96634,30.69109,hydrodynamic_drag
93.2,sim-0004,target_waypoint,33.67303,-1.06415,0.58001,0.30509,-1.37557,-10.47272,-0.85463,19.55579,48.04972,0.60475,0.9443,0.03041,0.94484,30.81607,buoyancy_imbalance
28.0,sim-0001,pipeline_tracking,10.88432,-0.04621,0.40436,0.06065,0.96063,-0.47244,-5.38075,17.01021,47.30892,0.44013,0.96674,0.06508,0.97177,35.12785,nominal
41.7,sim-0002,station_keeping,12.77662,2.55914,0.61328,-0.47924,-0.26143,-10.38542,-0.69826,18.39856,47.50003,0.56393,0.9517,0.09555,0.97755,32.95898,buoyancy_imbalance
14.7,sim-0000,station_keeping,34.25434,-1.84151,0.69654,-0.23668,-1.4425,-9.09783,1.38729,19.14468,47.69911,0.42829,0.9786,0.00791,1.0,38.00968,buoyancy_imbalance
84.2,sim-0004,target_waypoint,55.97521,-2.83992,0.70251,-0.58592,-0.62647,13.08879,-2.35202,16.28142,47.6122,0.57269,0.94443,0.06738,0.95258,37.13481,buoyancy_imbalance
45.2,sim-0002,target_waypoint,49.04455,2.05829,0.71616,-0.38017,-0.08762,-10.32374,-0.41425,15.41353,46.7383,0.49527,0.95324,0.00207,0.99842,28.81996,buoyancy_imbalance
36.5,sim-0001,target_waypoint,27.89186,-0.16138,0.77568,0.09012,-0.56392,1.05146,-0.7327,17.12608,46.59349,0.84216,0.98206,0.00287,0.89264,27.26179,nominal
21.7,sim-0001,pipeline_tracking,2.97705,-1.87037,0.72017,-0.3068,1.5113,8.3493,-1.98128,19.71075,47.7954,0.52901,0.96697,0.00623,0.96069,37.3309,buoyancy_imbalance
74.1,sim-0003,station_keeping,30.69139,0.1384,0.50182,0.04511,-2.2517,-0.12958,7.61582,25.81147,48.2021,0.48909,0.59065,0.03082,0.91207,33.11288,thruster_degradation
71.3,sim-0003,target_waypoint,58.57152,0.4147,0.46766,-0.01022,-2.0835,-0.87539,1.6885,20.53115,46.82593,0.39533,0.99122,2.59505,0.42749,27.82649,sensor_drift
19.9,sim-0000,pipeline_tracking,56.2025,-0.10387,0.25211,-0.03242,-0.15396,-1.36145,-1.478,23.33448,48.05639,0.69066,0.77191,0.01975,1.0,31.51185,hydrodynamic_drag
8.4,sim-0000,station_keeping,43.46921,0.00424,0.34039,-0.06881,3.02744,0.77557,1.10269,24.65637,47.41162,0.53157,0.97592,0.02462,0.90631,29.09976,hydrodynamic_drag
26.9,sim-0001,target_waypoint,23.79796,0.13995,0.19929,0.00775,1.32852,1.44229,2.62763,23.65396,47.42292,0.44427,0.89925,0.0751,0.95353,26.96375,hydrodynamic_drag
74.9,sim-0003,target_waypoint,28.22602,-0.14804,0.228,-0.03532,4.17864,-0.55909,3.39702,23.13019,47.94816,0.64742,0.93805,0.01637,0.8546,35.1888,hydrodynamic_drag
71.8,sim-0003,pipeline_tracking,39.88549,-0.35739,0.41227,0.04257,-0.08737,-1.45675,0.94479,17.58328,47.53254,0.27131,0.9727,1.03106,0.56809,33.48203,sensor_drift
17.9,sim-0000,target_waypoint,6.83102,-0.11645,0.4795,-0.02583,6.2209,1.9799,3.74781,21.35098,48.41462,0.51273,0.96373,0.07683,0.87834,31.24373,hydrodynamic_drag
39.7,sim-0001,pipeline_tracking,47.27918,2.43423,0.42906,0.36947,1.05978,-14.31662,-1.34167,17.61325,47.06854,0.47112,0.94316,0.09188,1.0,31.92487,buoyancy_imbalance
90.6,sim-0004,station_keeping,6.02205,-0.003,0.42377,-0.04214,-0.52066,-0.18319,-16.49802,26.40654,47.7509,0.52457,0.4119,0.04552,0.86724,30.42002,thruster_degradation
25.4,sim-0001,target_waypoint,13.17712,0.08375,0.35666,-0.00585,3.60935,0.54747,-2.66105,29.44035,47.35042,0.52382,0.92705,0.06282,0.87206,26.29627,hydrodynamic_drag
91.2,sim-0004,station_keeping,32.82523,-1.19479,0.22209,0.54666,-1.11475,14.19707,0.84696,20.7875,47.13681,0.24437,0.93704,0.0801,0.92911,33.9762,buoyancy_imbalance
78.4,sim-0003,pipeline_tracking,79.36553,-0.03403,0.41971,0.05629,2.22127,0.26626,0.47431,25.92363,48.00236,0.5015,0.88141,0.01292,0.91637,29.29825,hydrodynamic_drag
98.7,sim-0004,station_keeping,17.51922,-1.40316,0.5433,-0.18562,-0.3172,11.13357,-0.94314,19.55183,47.26039,0.42828,0.99503,0.11297,0.90794,33.11104,buoyancy_imbalance
25.1,sim-0001,target_waypoint,5.94119,0.25925,0.5542,-0.00634,0.9113,0.91175,-4.63589,23.69107,47.84841,0.48905,0.46919,0.07951,0.90146,31.02914,thruster_degradation
90.0,sim-0004,station_keeping,51.59552,0.06905,0.77618,0.06644,0.09742,0.68008,-0.12886,17.73585,47.75562,0.58036,0.93046,0.03979,0.90359,35.69878,nominal
55.8,sim-0002,station_keeping,46.72788,-0.24582,0.31501,0.04311,1.09936,-1.90215,-0.21588,17.20564,46.9251,0.14134,0.93521,2.00071,0.39971,29.88824,sensor_drift
92.3,sim-0004,target_waypoint,9.89651,0.28368,0.64929,0.11474,-2.34094,0.01902,2.94233,21.13492,47.44229,0.61459,1.02549,1.52641,0.68316,31.37061,sensor_drift
4.4,sim-0000,target_waypoint,79.39443,-0.01712,0.52199,-0.02604,1.35783,1.52543,-3.17588,25.33718,47.10099,0.47377,0.6557,0.03449,0.94199,34.79492,hydrodynamic_drag
7.7,sim-0000,target_waypoint,23.9431,-1.47155,0.48757,-0.30533,2.1617,-14.77561,0.34554,16.86093,47.49999,0.68044,1.0013,0.01835,1.0,34.48618,buoyancy_imbalance
16.6,sim-0000,pipeline_tracking,17.05531,-0.1468,0.30679,0.03923,-0.08447,-1.12814,-9.71003,22.5381,47.11389,0.62554,0.63969,0.11637,0.9778,26.32089,thruster_degradation
89.8,sim-0004,pipeline_tracking,49.63696,-0.40667,0.5722,0.0347,0.79241,0.52037,0.91779,20.55039,48.05091,0.26823,0.9885,1.0756,0.06299,31.43517,sensor_drift
90.5,sim-0004,target_waypoint,32.20388,-0.06583,0.70018,0.00126,1.37106,1.79273,2.36079,17.98378,48.0336,0.61686,0.99851,0.05751,0.86906,30.16013,nominal
51.4,sim-0002,pipeline_tracking,37.97856,-0.02993,0.28565,0.02739,-1.55334,-1.99419,3.05973,29.83088,47.34868,0.38557,0.95581,0.0491,0.98996,29.98804,hydrodynamic_drag
31.8,sim-0001,station_keeping,11.60234,-0.47883,0.65579,0.01495,2.131,-1.96085,1.63396,21.2931,47.41591,0.30819,1.05531,2.29309,0.20644,33.75182,sensor_drift
5.9,sim-0000,target_waypoint,64.00406,0.08326,0.35837,-0.00425,-2.44697,0.62188,-0.86374,27.20553,48.00239,0.53937,0.91857,0.08581,0.91297,31.63062,hydrodynamic_drag
57.7,sim-0002,pipeline_tracking,63.82161,2.48127,0.47581,-0.38555,-0.15794,12.23987,0.09827,18.50666,47.39437,0.28709,1.01065,0.00432,1.0,28.82494,buoyancy_imbalance
40.3,sim-0002,pipeline_tracking,47.10167,-0.45082,0.4948,0.01,-1.33637,-0.30644,-2.68039,18.19567,46.90891,0.33152,0.9793,2.07868,0.76746,28.55066,sensor_drift
4.2,sim-0000,station_keeping,33.06383,-1.97062,0.61347,0.61099,0.65685,11.17946,-2.94694,18.09231,46.8147,0.61858,0.98463,0.05343,0.9397,32.48905,buoyancy_imbalance
62.3,sim-0003,target_waypoint,49.10663,-0.56495,0.66994,0.10023,0.68854,0.27608,4.65027,18.9421,47.39408,0.38089,0.98245,1.29625,0.57313,31.93083,sensor_drift
50.7,sim-0002,station_keeping,67.83223,0.91777,0.74204,-0.22455,1.81939,-7.21287,-0.33182,18.35388,47.97037,0.45049,0.95449,0.00078,1.0,33.55667,buoyancy_imbalance
60.1,sim-0003,pipeline_tracking,26.91809,0.00664,0.31331,0.07682,0.01618,0.95698,-3.36292,29.02339,47.35133,0.41852,0.44158,0.02228,0.95349,31.59783,thruster_degradation
96.9,sim-0004,station_keeping,76.76916,0.00732,0.17981,-0.08262,1.50467,-0.18612,-0.96797,24.50163,47.96254,0.48244,0.912,0.02259,0.89719,32.55023,hydrodynamic_drag
94.3,sim-0004,pipeline_tracking,44.8097,0.70497,0.28092,0.00547,-1.61535,-1.20287,5.45264,14.59534,47.59163,0.5144,0.95597,2.39198,0.61093,30.94798,sensor_drift
30.8,sim-0001,target_waypoint,73.83011,-0.6388,0.7357,0.06624,-0.43275,2.59338,1.13929,14.42447,46.54946,0.19518,1.00254,2.05684,0.5614,30.85377,sensor_drift
80.1,sim-0004,station_keeping,24.11586,-0.05195,0.39618,-0.00249,1.25153,-0.38925,10.22843,30.76372,48.37017,0.41521,0.15899,0.11353,0.90023,30.10186,thruster_degradation
57.8,sim-0002,target_waypoint,58.62977,-0.03096,0.51128,0.04894,-0.33245,0.8843,-0.06845,19.49395,47.27762,0.43392,0.94444,0.733,0.70457,29.89156,sensor_drift
60.8,sim-0003,target_waypoint,58.48194,0.13575,0.67572,0.02183,1.22159,0.12709,-0.00891,17.55962,47.18204,0.6089,0.99156,2.01814,0.44258,30.07541,sensor_drift
10.3,sim-0000,pipeline_tracking,28.77702,-0.3253,0.69696,0.07554,2.35753,0.69686,-0.16224,15.40087,46.65508,0.27935,0.97772,2.30276,0.54131,30.76878,sensor_drift
8.5,sim-0000,pipeline_tracking,30.89065,0.09614,0.64832,0.10853,-0.36511,1.52301,1.29418,15.41692,48.18031,0.33154,0.89188,0.07987,0.98276,31.15608,nominal
73.5,sim-0003,station_keeping,18.44797,0.14514,0.53684,-0.0045,0.40687,1.09463,-1.61306,16.33866,47.4902,0.32527,1.00819,0.06771,0.91311,31.71291,nominal
52.5,sim-0002,station_keeping,11.08963,0.27714,0.69306,0.05958,1.21139,-1.0723,-1.76098,16.26067,47.05991,0.55146,0.92121,0.0644,0.91784,31.63868,nominal
94.7,sim-0004,target_waypoint,27.66805,1.72199,0.76441,-0.32021,-2.60515,13.41888,-1.68486,15.45328,48.0142,0.56521,1.00841,0.06178,0.88131,33.37879,buoyancy_imbalance
92.0,sim-0004,target_waypoint,29.29035,-0.04097,0.70964,0.05387,-0.66485,1.11287,-2.27115,17.11982,47.25452,0.29448,0.91394,0.09872,0.91217,30.15167,nominal
53.1,sim-0002,station_keeping,72.05089,0.06093,0.42044,0.02892,-1.47564,1.75219,-14.93119,31.08829,47.69362,0.48753,0.36946,0.04647,0.92512,28.31277,thruster_degradation
94.6,sim-0004,pipeline_tracking,4.22905,0.06849,0.43653,0.02109,-1.1377,0.28216,12.6439,29.69463,47.86568,0.32148,0.59818,0.00801,0.91185,26.74221,thruster_degradation
24.6,sim-0001,station_keeping,16.6385,-0.04669,0.46112,0.00985,1.0945,-1.04488,-7.75654,25.6383,47.51961,0.42189,0.44428,0.07027,0.89312,25.83826,thruster_degradation
40.4,sim-0002,target_waypoint,34.09717,0.04699,0.08668,-0.02887,-1.16077,-1.24781,-2.4392,22.85562,47.32697,0.30416,0.74293,0.00258,0.92093,30.42286,hydrodynamic_drag
46.6,sim-0002,pipeline_tracking,57.9809,0.2852,0.19244,0.0115,-1.87191,0.05853,3.66396,28.76879,47.03198,0.7076,0.7263,0.10512,0.96301,26.67373,thruster_degradation
86.1,sim-0004,station_keeping,11.12391,0.12662,0.43879,-0.05194,1.24841,-2.41232,12.10839,27.86515,46.4358,0.35012,0.4337,0.07473,1.0,32.00305,thruster_degradation
88.1,sim-0004,target_waypoint,46.53505,-0.13785,0.22326,-0.05238,0.0068,-0.13925,11.83618,30.44128,46.86381,0.464,0.21127,0.0147,1.0,26.53301,thruster_degradation
18.1,sim-0000,pipeline_tracking,42.60356,0.08711,0.43262,0.06614,0.21119,-0.2,-5.84594,31.97887,47.69687,0.38938,0.54871,0.07116,0.931,28.69621,thruster_degradation
57.0,sim-0002,station_keeping,41.56316,0.05297,0.43215,-0.06582,-1.45207,0.39071,-1.72373,20.0607,47.72313,0.45833,0.8896,0.08038,0.91035,34.30392,nominal
48.2,sim-0002,target_waypoint,58.41177,-1.75095,0.96933,-0.46634,1.07418,6.70032,-2.11601,16.09421,48.23075,0.43379,1.00142,0.02121,0.94247,32.1711,buoyancy_imbalance
53.6,sim-0002,target_waypoint,64.20394,0.09582,0.37827,0.01362,-0.63877,-0.96521,-9.86026,26.70994,47.46907,0.49883,0.36119,0.08446,0.96401,24.83721,thruster_degradation
12.2,sim-0000,target_waypoint,24.70746,1.52368,0.4545,-0.19674,2.66986,8.00756,-1.44382,18.41846,47.36255,0.3682,0.97676,0.03734,0.99787,30.77275,buoyancy_imbalance
23.7,sim-0001,station_keeping,22.6256,1.1509,0.46979,0.41679,-0.16685,-11.00736,0.74594,16.55465,48.12412,0.59559,0.97601,0.03745,0.98135,29.57376,buoyancy_imbalance
83.1,sim-0004,station_keeping,28.40321,-0.05682,0.49015,0.03111,0.16977,-0.24245,13.91579,19.83791,47.6213,0.26818,0.47093,0.00744,0.96078,31.90352,thruster_degradation
55.6,sim-0002,pipeline_tracking,32.4646,-0.10881,0.55059,-0.0339,0.83481,0.99135,10.27017,31.10857,47.36913,0.32695,0.17541,0.06605,0.93199,31.37985,thruster_degradation
46.3,sim-0002,pipeline_tracking,32.15071,-0.50208,0.36235,-0.04748,1.16452,-2.18658,-1.49345,18.5619,47.16803,0.52482,0.97996,0.89963,0.36569,35.57603,sensor_drift
0.2,sim-0000,target_waypoint,33.76033,0.99172,0.32942,0.38778,-1.75516,6.47732,-2.76157,16.39522,47.84481,0.50859,0.9665,0.06384,0.94199,32.3763,buoyancy_imbalance
2.0,sim-0000,target_waypoint,55.70312,0.05974,0.51572,0.09075,0.42393,-0.11138,2.62998,18.61121,47.48559,0.37407,0.95162,0.0585,0.89828,32.48004,nominal
91.9,sim-0004,pipeline_tracking,7.65709,-0.14484,0.50937,0.01127,-3.78518,-0.90394,0.88901,20.94224,47.08507,0.54056,0.78291,0.07049,0.92437,29.53976,hydrodynamic_drag
23.5,sim-0001,pipeline_tracking,67.15768,0.09555,0.56525,0.03525,-0.22074,-0.61951,-0.81516,20.60155,47.22047,0.47002,1.0057,0.06064,0.94962,29.00407,nominal
7.1,sim-0000,target_waypoint,39.13021,0.03778,0.53132,0.0101,-0.39852,1.67962,-12.75817,24.37027,47.09099,0.40314,0.62239,0.00797,0.93919,30.13378,thruster_degradation
26.0,sim-0001,target_waypoint,21.49829,-0.05908,0.7278,-0.03229,-1.29975,1.4516,-0.82827,14.59761,47.20424,0.49875,0.92436,0.0251,0.88459,29.73843,nominal
56.2,sim-0002,pipeline_tracking,74.64009,1.70365,0.8467,-0.38301,-0.16275,-9.7359,1.86972,17.76317,47.86495,0.34969,0.93813,0.09455,0.92887,31.68526,buoyancy_imbalance
24.7,sim-0001,pipeline_tracking,18.89738,1.93117,0.81501,0.50061,2.06625,13.87202,-3.96121,18.91112,48.0785,0.40973,1.02633,0.11398,0.88815,30.01999,buoyancy_imbalance
55.3,sim-0002,pipeline_tracking,54.78322,0.29488,0.79009,0.00246,-0.20242,0.94664,0.41518,17.39347,47.40874,0.42897,1.00487,1.25902,0.64714,30.97491,sensor_drift
4.9,sim-0000,pipeline_tracking,72.72423,0.064,0.60621,0.02287,2.29866,1.12022,1.50183,26.59056,46.68823,0.38006,0.87535,0.06244,0.97829,27.97409,hydrodynamic_drag
62.4,sim-0003,station_keeping,43.72439,-0.1061,0.35956,-0.0175,3.40235,1.36127,0.15962,26.24138,48.24793,0.61364,0.85226,0.07505,0.90471,33.02652,hydrodynamic_drag
56.3,sim-0002,target_waypoint,61.65566,-0.30251,0.82027,0.05599,-0.86843,-0.96777,1.58238,16.44,46.94922,0.69722,0.94336,1.3984,0.82,27.64446,sensor_drift
56.9,sim-0002,target_waypoint,45.64561,0.15405,0.48834,-0.0374,2.64318,-1.34176,-0.29265,24.51511,47.20546,0.52439,0.84445,0.04208,0.9609,36.29986,hydrodynamic_drag
29.7,sim-0001,station_keeping,28.02152,-1.98574,0.61184,0.22388,-0.95231,7.55197,-0.90267,13.93076,48.0069,0.60406,0.96276,0.06412,0.90769,31.86878,buoyancy_imbalance
64.4,sim-0003,target_waypoint,58.35022,-0.11325,0.23268,-0.00473,0.75721,0.26792,0.94895,29.84087,47.881,0.27137,0.82897,0.06376,0.90887,32.42275,hydrodynamic_drag
22.2,sim-0001,station_keeping,44.82741,2.74205,0.79423,-0.51339,0.88468,-8.12923,5.51914,16.60286,47.16182,0.26431,0.9831,0.06591,0.89276,29.43071,buoyancy_imbalance
95.2,sim-0004,pipeline_tracking,41.17847,2.70986,0.82511,-0.36027,-1.32115,-12.32305,0.03531,18.46537,47.95408,0.55734,0.93872,0.04955,0.84129,33.17351,buoyancy_imbalance
62.9,sim-0003,target_waypoint,34.55593,0.02647,0.4385,-0.03789,-0.67644,1.69916,-2.86478,25.31157,47.04041,0.52157,0.74288,0.05523,0.90281,30.37604,hydrodynamic_drag
37.3,sim-0001,pipeline_tracking,59.67595,-0.26797,0.73049,0.03776,0.38957,0.24942,4.3514,23.20708,47.47575,0.66507,0.96033,1.30039,0.73022,30.90416,sensor_drift
38.1,sim-0001,station_keeping,40.22569,0.01627,0.29651,-0.01821,0.08931,-2.18862,7.60309,26.49654,47.37158,0.49803,0.5654,0.08275,0.94982,35.50798,thruster_degradation
72.8,sim-0003,target_waypoint,26.64203,-0.17676,0.6655,-0.00102,-0.86309,0.88023,2.69065,14.17917,48.05314,0.36751,1.02574,0.97827,0.33224,33.27454,sensor_drift
9.4,sim-0000,pipeline_tracking,28.83211,-0.05301,0.18734,-0.01828,0.31513,-1.40457,-2.34055,24.87849,47.46106,0.50829,0.65458,0.03599,0.96724,30.56609,hydrodynamic_drag
27.9,sim-0001,station_keeping,17.73873,0.07611,0.18376,-0.0488,3.03363,-0.34474,-0.20007,27.33392,46.47959,0.56558,0.88691,0.00589,0.96987,32.42526,hydrodynamic_drag
85.8,sim-0004,station_keeping,54.90416,0.15771,0.62874,0.03733,-0.65529,0.59801,-0.00975,20.15944,47.4369,0.4971,0.98376,0.70479,0.18001,33.49082,sensor_drift
60.4,sim-0003,pipeline_tracking,10.48911,0.13289,0.31068,-0.01146,0.7985,-0.57291,1.75627,26.59554,47.81992,0.33499,0.83103,4e-05,0.98349,32.26614,hydrodynamic_drag
66.9,sim-0003,station_keeping,16.30062,-0.03978,0.23164,0.00059,-3.97849,-1.86139,-0.16764,25.2063,47.59313,0.35707,0.74047,0.04406,1.0,26.21886,hydrodynamic_drag
27.1,sim-0001,pipeline_tracking,42.03428,-0.01519,0.16617,0.02682,0.89649,0.12178,11.24249,29.13091,47.27091,0.5308,0.63191,0.07675,0.91927,29.44047,thruster_degradation
9.0,sim-0000,station_keeping,13.56496,-0.24155,0.64348,0.02661,-1.26448,-0.23795,1.12085,19.44228,47.35751,0.64022,0.95628,0.04699,0.95584,33.48534,nominal
68.3,sim-0003,target_waypoint,69.90531,-0.24459,0.60413,0.06693,1.43537,-0.34135,-0.71175,22.74878,48.23261,0.49318,1.01599,0.73571,0.21725,32.90431,sensor_drift
5.7,sim-0000,station_keeping,13.01862,1.46767,0.56124,-0.29363,1.12014,-14.02674,-1.04083,18.85245,48.19845,0.66871,0.92047,0.06449,0.90607,27.85553,buoyancy_imbalance
38.8,sim-0001,pipeline_tracking,46.63267,0.58524,0.90859,0.01721,-0.38396,-1.24073,-2.00888,15.76771,47.67077,0.59915,1.01782,2.12269,0.46851,27.01132,sensor_drift
22.3,sim-0001,pipeline_tracking,41.1305,0.0697,0.71651,0.02953,0.21705,0.95053,-1.03741,15.62122,47.60428,0.85648,0.99827,2.44498,0.43466,25.40654,sensor_drift
90.8,sim-0004,target_waypoint,18.90571,-0.03236,0.67103,-0.05191,1.93236,-0.58282,-1.94757,17.14503,46.85532,0.38531,0.97057,2.32056,0.47951,36.4131,sensor_drift
31.0,sim-0001,pipeline_tracking,6.03865,0.23742,0.88214,-0.04734,-1.89836,1.62875,-0.87281,17.71038,47.25593,0.52579,0.95551,0.00834,0.8686,23.82428,nominal
97.0,sim-0004,pipeline_tracking,51.89399,0.25256,0.40911,0.04071,-0.06498,-1.8948,-2.79735,20.00976,47.38225,0.48655,0.9439,0.01822,0.97687,32.7199,nominal
